,precision,recall,f1-score,support
0,0.9507903902831115,0.7988219514711538,0.8682063070547879,106617.0
1,0.4018516969240637,0.7657561908810713,0.5270954880479909,18818.0
accuracy,0.7938613624586439,0.7938613624586439,0.7938613624586439,0.7938613624586439
macro avg,0.6763210436035876,0.7822890711761126,0.6976508975513893,125435.0
weighted avg,0.868437551509001,0.7938613624586439,0.8170322057906279,125435.0
