feature,importance
path_length,0.14071626744015922
num_hyphens,0.11828193458434631
num_slashes,0.11443121802342772
num_dots,0.10533559768859142
url_length,0.0949023634197397
num_special_chars,0.08128667199913078
num_digits,0.07290174238792083
hostname_length,0.07137832760409636
num_underscores,0.050968096156945225
num_subdomains,0.0453455383958027
suspicious_keyword,0.03037841614445249
query_length,0.029921718622640592
num_equals,0.019921366494528695
num_question_marks,0.011017376386185065
num_percent,0.006636578114036768
num_at_symbols,0.0037502838292239123
has_ip,0.002059582460955649
shortening_service,0.0007669202478165537
