model,accuracy,precision,recall,f1_score,roc_auc
Random Forest,0.8552894880461113,0.5707309629177476,0.7948145786845181,0.6643869076697606,0.9085423315533434
Decision Tree,0.841770152140402,0.5430833896269609,0.7688343427903517,0.6365355854667019,0.8931778662957371
Logistic Regression,0.7028139750868895,0.3512190369486324,0.7661247476357455,0.48163796990597707,0.7847561219904413
